activity_code,activity_label,activity_main_code,activity_main_label,activity_display
332,نصب، سرویس و تعمیر کالاهای شخصی و خانگی از جمله تجهیزات ICT توسط خود، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,332 — نصب، سرویس و تعمیر کالاهای شخصی و خانگی از جمله تجهیزات ICT توسط خود، بدون مزد برای اعضای خانوار و خانواده
333,تعمیر و نگهداری وسایل نقلیه توسط خود، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,333 — تعمیر و نگهداری وسایل نقلیه توسط خود، بدون مزد برای اعضای خانوار و خانواده
339,سایر فعالیت‌های مرتبط با تزئین، نگهداری و مرمت خانه توسط خود، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,339 — سایر فعالیت‌های مرتبط با تزئین، نگهداری و مرمت خانه توسط خود، بدون مزد برای اعضای خانوار و خانواده
341,شست‌وشوی لباس‌ها با دست/ ماشین لباسشویی، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,341 — شست‌وشوی لباس‌ها با دست/ ماشین لباسشویی، بدون مزد برای اعضای خانوار و خانواده
342,خشک کردن؛ آویزان کردن، جمع کردن لباس‌های شسته شده، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,342 — خشک کردن؛ آویزان کردن، جمع کردن لباس‌های شسته شده، بدون مزد برای اعضای خانوار و خانواده
343,اتو کردن/ پرس کردن/ تا کردن لباس‌ها، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,343 — اتو کردن/ پرس کردن/ تا کردن لباس‌ها، بدون مزد برای اعضای خانوار و خانواده
344,مرمت/ تعمیر و مراقبت از لباس‌ها و کفش‌ها؛ تمیز کردن و واکس زدن کفش‌ها، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,344 — مرمت/ تعمیر و مراقبت از لباس‌ها و کفش‌ها؛ تمیز کردن و واکس زدن کفش‌ها، بدون مزد برای اعضای خانوار و خانواده
349,سایر فعالیت‌های مرتبط با مراقبت و نگهداری از منسوجات و پاپوش، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,349 — سایر فعالیت‌های مرتبط با مراقبت و نگهداری از منسوجات و پاپوش، بدون مزد برای اعضای خانوار و خانواده
351,پرداخت صورتحساب‌های خانوار، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,351 — پرداخت صورتحساب‌های خانوار، بدون مزد برای اعضای خانوار و خانواده
352,بودجه‌بندی، برنامه‌ریزی، سازمان‌دهی وظایف و فعالیت‌ها در خانوار، بدون مزد برای اعضای خانوار و خانواده,3,خدمات خانگی بدون مزد، برای اعضای خانوار و خانواده,352 — بودجه‌بندی، برنامه‌ریزی، سازمان‌دهی وظایف و فعالیت‌ها در خانوار، بدون مزد برای اعضای خانوار و خانواده
